wals_code,iso_code,glottocode,name,latitude,longitude,genus,family,macroarea,countrycodes,3A  Consonant-Vowel Ratio,13A Tone,26A Prefixing vs. Suffixing in Inflectional Morphology,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,33A Coding of Nominal Plurality,45A Politeness Distinctions in Pronouns,49A Number of Cases,51A Position of Case Affixes,53A Ordinal Numerals,57A Position of Pronominal Possessive Affixes,67A The Future Tense,68A The Perfect,"81A Order of Subject, Object and Verb",92A Position of Polar Question Particles
git,git,gitx1241,Gitksan,55.33333333,-127.75,Tsimshianic,Penutian,North America,CA,,,,,,1 Plural prefix,,,9 No case affixes or adpositional clitics,,,,,7 No dominant order,2 Final
giz,giz,maro1246,Giziga,10.33333333,14.16666667,Biu-Mandara,Afro-Asiatic,Africa,CM,,,,,,7 Plural word,,,,,2 Possessive suffixes,,,,
gji,gue,guri1247,Gurindji,-17.66666667,130.6666667,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
gjj,gub,guaj1255,Guajajara,-5,-46,Tupi-Guaraní,Tupian,South America,BR,,,,,,,,,,,1 Possessive prefixes,,,3 VSO,
gku,pue,puel1244,Gününa Küne,-41,-67,Puelche,Chon,South America,AR,,,3 Weakly suffixing,,,9 No plural,,,1 Case suffixes,,2 Possessive suffixes,,,7 No dominant order,
gla,gio,gela1261,Gelao,22.91666667,105.5,Kadai,Tai-Kadai,Eurasia,VN,3 Average,3 Complex tone system,,,,,,,,,,,,2 SVO,
glc,glg,gali1258,Galician,43,-8,Romance,Indo-European,Eurasia,ES,,,,,,,,,,"7 First, second, three-th",,,,,
gll,gbi,gale1259,Galela,2.416666667,128.3333333,North Halmaheran,West Papuan,Papunesia,ID,,,,,,,,,,,,,,,
gln,gvf,goli1247,Golin,-6.333333333,144.75,Chimbu,Trans-New Guinea,Papunesia,PG,,,2 Strongly suffixing,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,1 SOV,6 No question particle
glp,dhg,dhan1270,Gaalpu,-12.66666667,136.75,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
gma,deu,stan1295,German (Mansfeldisch),51.58333333,11.5,Germanic,Indo-European,Eurasia,DE,,,,,,,,,,,,,,,
gmb,gum,guam1248,Guambiano,2.5,-76.66666667,Barbacoan,Barbacoan,South America,CO,3 Average,,,,,,,,,,,,,,
gml,kld,gami1243,Gamilaraay,-29.83333333,149.5,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
gmt,gnn,guma1253,Gumatj,-12.5,135.5,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
gmw,gvs,guma1254,Gumawana,-9.25,150.8333333,Oceanic,Austronesian,Papunesia,PG,,,4 Equal prefixing and suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,1 SOV,6 No question particle
gmz,guk,gumu1244,Gumuz,12.5,35.83333333,Gumuz,Gumuz,Africa,ET SD,,,3 Weakly suffixing,,,,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,6 No question particle
gna,gva,guan1268,Guana,-22,-58,Mascoian,Mascoian,South America,PY,,,,,,,,,,,,,,,
gnb,wlg,kunb1251,Gunbalang,-12,134,Gunwinygic,Gunwinyguan,Australia,AU,,,,,,,,,,,,,,2 SVO,6 No question particle
gnd,gqa,gaan1243,Ga'anda,10.33333333,12.58333333,Biu-Mandara,Afro-Asiatic,Africa,NG,,,,,,2 Plural suffix,,,,,,,,,
gnn,gww,kwin1241,Gunin,-14.25,126.6666667,Worrorran,Worrorran,Australia,AU,,,5 Weakly prefixing,,,9 No plural,,,6 Postpositional clitics,,1 Possessive prefixes,,,7 No dominant order,
gno,gvc,guan1269,Guanano,0.8333333333,-69.5,Tucanoan,Tucanoan,South America,BR CO,,,,,,,,,,,,,,,
gny,gyy,guny1241,Gunya,-26.5,146.5,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
goa,guc,wayu1243,Goajiro,12,-72,Caribbean Arawakan,Arawakan,South America,VR CO,3 Average,,3 Weakly suffixing,,,2 Plural suffix,,,1 Case suffixes,"3 First, two, three",1 Possessive prefixes,,,3 VSO,1 Initial
god,gdo,ghod1238,Godoberi,42.66666667,46.08333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU,,,,3 Three,2 Sex-based,2 Plural suffix,,,1 Case suffixes,,,,,,
goe,ank,goem1240,Goemai,8.666666667,9.75,West Chadic,Afro-Asiatic,Africa,NG,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,,,,2 SVO,2 Final
gog,ggw,gogo1265,Gogodala,-8.083333333,142.8333333,Gogodala,Gogodala-Suki,Papunesia,PG,,,,,,,,,1 Case suffixes,,,,,1 SOV,
goj,gju,guja1253,Gojri,32.75,76.25,Indic,Indo-European,Eurasia,IN,,,,,,,,,,,,,,,
gok,gkn,goka1239,Gokana,4.583333333,7.333333333,Cross River,Niger-Congo,Africa,NG,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,2 SVO,1 Initial
gol,gol,gola1255,Gola,7.25,-10.83333333,Mel,Niger-Congo,Africa,SL LR,,,,,,,,,,"6 First, two-th, three-th",,,,,
gon,ggo,sout2711,Gondi,19,81,South-Central Dravidian,Dravidian,Eurasia,IN,,,2 Strongly suffixing,,,2 Plural suffix,,,1 Case suffixes,,4 No possessive affixes,,,1 SOV,2 Final
goo,gni,goon1238,Gooniyandi,-18.33333333,126.3333333,Bunuban,Bunuban,Australia,AU,4 Moderately high,1 No tones,5 Weakly prefixing,1 None,1 No gender,8 Plural clitic,1 No politeness distinction,8 10 or more cases,8 Inpositional clitics,1 None,2 Possessive suffixes,1 Inflectional future exists,4 No perfect,7 No dominant order,
gor,gow,goro1270,Gorowa,-4.5,36.5,Southern Cushitic,Afro-Asiatic,Africa,TZ,,,,,,,,,,,,,,,
gos,gsw,swis1247,German (Ostschweiz),47.41666667,9.25,Germanic,Indo-European,Eurasia,CH,,,,,,,,,,,,,,,
gpz,gsw,swis1247,German (Appenzell),47.33333333,9.333333333,Germanic,Indo-European,Eurasia,CH,,,,,,,,,,,,,,,
grb,grj,barc1235,Grebo,5,-8,Kru,Niger-Congo,Africa,LR,2 Moderately low,3 Complex tone system,2 Strongly suffixing,3 Three,3 Non-sex-based,2 Plural suffix,1 No politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,"6 First, two-th, three-th",4 No possessive affixes,1 Inflectional future exists,3 Other perfect,2 SVO,1 Initial
gre,kal,kala1399,Greenlandic (East),65,-40,Eskimo,Eskimo-Aleut,Eurasia,GL,,,,,,,,,,"7 First, second, three-th",,,,,
grf,cab,gari1256,Garífuna,15.66666667,-88,Caribbean Arawakan,Arawakan,North America,BZ GT HN,,,,,,2 Plural suffix,,,,"6 First, two-th, three-th",1 Possessive prefixes,1 Inflectional future exists,3 Other perfect,3 VSO,
grg,gge,gura1252,Gurr-goni,-12.25,134.4166667,Burarran,Mangrida,Australia,AU,,,,,,,,,2 Case prefixes,,,,,7 No dominant order,
grj,var,huar1255,Guarijío,27.75,-108.6666667,Tarahumaran,Uto-Aztecan,North America,MX,,,,,,,,,,,,,,7 No dominant order,6 No question particle
grk,ell,mode1248,Greek (Modern),39,22,Greek,Indo-European,Eurasia,GR,3 Average,1 No tones,2 Strongly suffixing,3 Three,2 Sex-based,2 Plural suffix,2 Binary politeness distinction,3 3 cases,1 Case suffixes,"7 First, second, three-th",4 No possessive affixes,2 No inflectional future,1 From possessive,7 No dominant order,1 Initial
grm,gux,gour1243,Gurma,12.25,1,Gur,Niger-Congo,Africa,BF,,,,,,,,,,,,,,,
grn,gur,fare1241,Gurenne,10.83333333,-0.9166666667,Gur,Niger-Congo,Africa,GH,,,,,,,,,,"6 First, two-th, three-th",,,,,
gro,goa,guro1248,Guro,7,-6,Eastern Mande,Mande,Africa,CI,,,,,,,,,,,,,,,
grp,ksh,kols1241,German (Ripuarian),51,7,Germanic,Indo-European,Eurasia,BE,,,,,,,,,,,,,,,
grr,gbc,gara1261,Garrwa,-17.08333333,137.1666667,Garrwan,Garrwan,Australia,AU,4 Moderately high,1 No tones,2 Strongly suffixing,,,,,,1 Case suffixes,,4 No possessive affixes,,,7 No dominant order,5 In either of two positions
grs,gyb,garu1246,Garus,-4.95,145.6666667,Madang,Trans-New Guinea,Papunesia,PG,,,,,,,,,,,2 Possessive suffixes,,,,
grt,gor,goro1259,Gorontalo,0.5,122,Greater Central Philippine,Austronesian,Papunesia,ID,,,,,,,,,,,,,,,
grw,kal,kala1399,Greenlandic (West),64,-51,Eskimo,Eskimo-Aleut,Eurasia,GL,4 Moderately high,1 No tones,2 Strongly suffixing,1 None,1 No gender,2 Plural suffix,1 No politeness distinction,7 8-9 cases,1 Case suffixes,"7 First, second, three-th",2 Possessive suffixes,1 Inflectional future exists,4 No perfect,1 SOV,6 No question particle
gsl,gss,gree1271,Greek Sign Language,38.5,22,Sign Languages,other,Eurasia,GR,,,,,,,,,,,,,,,
gso,kal,kala1399,Greenlandic (South),60,-44,Eskimo,Eskimo-Aleut,Eurasia,GL,,,,,,,,,,,,,,,
gtg,gsw,swis1247,German (Thurgau),47.58333333,9.166666667,Germanic,Indo-European,Eurasia,CH,,,,,,,,,,,,,,,
gth,deu,stan1295,German (Thuringian),51,11,Germanic,Indo-European,Eurasia,DE,,,,,,,,,,,,,,,
gti,deu,stan1295,German (Timisoara),45.75,21.25,Germanic,Indo-European,Eurasia,RO,,,,,,,,,,,,,,,
gto,gta,guat1253,Guató,-17,-58,Guató,Guató,South America,BR,,,,,,,,,,,1 Possessive prefixes,,,3 VSO,
gua,gug,para1311,Guaraní,-26,-56,Tupi-Guaraní,Tupian,South America,PY,3 Average,1 No tones,6 Strong prefixing,1 None,1 No gender,7 Plural word,1 No politeness distinction,1 No morphological case-marking,9 No case affixes or adpositional clitics,"5 First/one-th, two-th, three-th",1 Possessive prefixes,1 Inflectional future exists,4 No perfect,2 SVO,
gud,gde,gude1246,Gude,10.41666667,13.41666667,Biu-Mandara,Afro-Asiatic,Africa,CM NG,,,2 Strongly suffixing,,,2 Plural suffix,,,9 No case affixes or adpositional clitics,,2 Possessive suffixes,,,3 VSO,2 Final
gue,gxx,guer1240,Guere,6.666666667,-7.75,Kru,Niger-Congo,Africa,CI,,,,,,,,,,,,,,,
guf,guf,gupa1247,Gupapuyngu,-12,136,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,,,,,,,,,,
gug,ktd,koka1244,Gugada,-30,134,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,,2 Strongly suffixing,,,,,,1 Case suffixes,,,1 Inflectional future exists,4 No perfect,1 SOV,
guh,ghs,guhu1244,Guhu-Samane,-8,147.3333333,Binanderean,Trans-New Guinea,Papunesia,PG,,,,,,2 Plural suffix,,,1 Case suffixes,,,,,1 SOV,2 Final
guj,guj,guja1252,Gujarati,23,72,Indic,Indo-European,Eurasia,IN,,,,,,,,,,"6 First, two-th, three-th",,,,1 SOV,6 No question particle
gul,glu,gula1269,Gula (in Central African Republic),9.5,22.5,Bongo-Bagirmi,Central Sudanic,Africa,CF,,,1 Little affixation,,,7 Plural word,,,9 No case affixes or adpositional clitics,,,,,2 SVO,2 Final
gum,kgs,kumb1268,Gumbaynggir,-30.16666667,152.5,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU,,,,,,2 Plural suffix,,,1 Case suffixes,,,,,7 No dominant order,6 No question particle
gun,yas,nugu1242,Gunu,4.583333333,11.25,Bantoid,Niger-Congo,Africa,CM,,,,,,,,,,,,,,,
guq,,cari1279,Guaque,1,-72.08333333,Cariban,Cariban,South America,CO,,,,,,,,,,,,,,,
